"filename", "language", "Dart", "comment", "blank", "total"
"/home/aouser/Documents/fluff/quizflow/lib/audio_control.dart", "Dart", 4, 1, 3, 8
"/home/aouser/Documents/fluff/quizflow/lib/collection_types/card_deck.dart", "Dart", 108, 10, 39, 157
"/home/aouser/Documents/fluff/quizflow/lib/collection_types/card_deck.g.dart", "Dart", 90, 4, 8, 102
"/home/aouser/Documents/fluff/quizflow/lib/collection_types/card_deck_register.dart", "Dart", 9, 0, 4, 13
"/home/aouser/Documents/fluff/quizflow/lib/collection_types/collection.dart", "Dart", 5, 0, 3, 8
"/home/aouser/Documents/fluff/quizflow/lib/collection_types/collection.g.dart", "Dart", 21, 4, 8, 33
"/home/aouser/Documents/fluff/quizflow/lib/collection_types/duration.g.dart", "Dart", 14, 0, 4, 18
"/home/aouser/Documents/fluff/quizflow/lib/collection_types/flashcard.dart", "Dart", 50, 12, 18, 80
"/home/aouser/Documents/fluff/quizflow/lib/collection_types/flashcard.g.dart", "Dart", 54, 4, 8, 66
"/home/aouser/Documents/fluff/quizflow/lib/collection_types/folder.dart", "Dart", 91, 5, 23, 119
"/home/aouser/Documents/fluff/quizflow/lib/collection_types/folder.g.dart", "Dart", 57, 4, 8, 69
"/home/aouser/Documents/fluff/quizflow/lib/domain/signin.dart", "Dart", 30, 13, 8, 51
"/home/aouser/Documents/fluff/quizflow/lib/firebase_options.dart", "Dart", 55, 12, 4, 71
"/home/aouser/Documents/fluff/quizflow/lib/functions/again.dart", "Dart", 18, 4, 4, 26
"/home/aouser/Documents/fluff/quizflow/lib/functions/easy.dart", "Dart", 31, 7, 4, 42
"/home/aouser/Documents/fluff/quizflow/lib/functions/good.dart", "Dart", 37, 5, 5, 47
"/home/aouser/Documents/fluff/quizflow/lib/functions/grade_button_action.dart", "Dart", 6, 0, 2, 8
"/home/aouser/Documents/fluff/quizflow/lib/functions/hard.dart", "Dart", 26, 5, 4, 35
"/home/aouser/Documents/fluff/quizflow/lib/functions/scheduler.dart", "Dart", 0, 0, 1, 1
"/home/aouser/Documents/fluff/quizflow/lib/main.dart", "Dart", 66, 37, 15, 118
"/home/aouser/Documents/fluff/quizflow/lib/provider/add_card_model.dart", "Dart", 45, 11, 13, 69
"/home/aouser/Documents/fluff/quizflow/lib/provider/hive_model.dart", "Dart", 100, 13, 16, 129
"/home/aouser/Documents/fluff/quizflow/lib/provider/import_model.dart", "Dart", 175, 45, 18, 238
"/home/aouser/Documents/fluff/quizflow/lib/provider/page_model.dart", "Dart", 9, 0, 4, 13
"/home/aouser/Documents/fluff/quizflow/lib/provider/root_folder_model.dart", "Dart", 335, 97, 33, 465
"/home/aouser/Documents/fluff/quizflow/lib/provider/selected_deck_model.dart", "Dart", 33, 1, 7, 41
"/home/aouser/Documents/fluff/quizflow/lib/provider/settings_model.dart", "Dart", 18, 3, 4, 25
"/home/aouser/Documents/fluff/quizflow/lib/screen/add_card_screen.dart", "Dart", 90, 0, 4, 94
"/home/aouser/Documents/fluff/quizflow/lib/screen/display_cards_screen.dart", "Dart", 117, 6, 6, 129
"/home/aouser/Documents/fluff/quizflow/lib/screen/list_screen.dart", "Dart", 145, 29, 21, 195
"/home/aouser/Documents/fluff/quizflow/lib/screen/settings_screen.dart", "Dart", 100, 4, 4, 108
"/home/aouser/Documents/fluff/quizflow/lib/service/googl_sign_in/googledrivehandler.dart", "Dart", 2, 1, 2, 5
"/home/aouser/Documents/fluff/quizflow/lib/service/googl_sign_in/src/googledrivehandler_functions.dart", "Dart", 64, 0, 15, 79
"/home/aouser/Documents/fluff/quizflow/lib/service/googl_sign_in/src/googledrivehandler_screen.dart", "Dart", 319, 44, 29, 392
"/home/aouser/Documents/fluff/quizflow/lib/service/openai_service/llm_service.dart", "Dart", 137, 8, 23, 168
"/home/aouser/Documents/fluff/quizflow/lib/widgets/add_screen_widgets/input_field.dart", "Dart", 69, 0, 4, 73
"/home/aouser/Documents/fluff/quizflow/lib/widgets/display_screen_widgets/card_view.dart", "Dart", 182, 2, 12, 196
"/home/aouser/Documents/fluff/quizflow/lib/widgets/display_screen_widgets/flip_card_button.dart", "Dart", 39, 1, 3, 43
"/home/aouser/Documents/fluff/quizflow/lib/widgets/display_screen_widgets/grade_buttons.dart", "Dart", 98, 13, 3, 114
"/home/aouser/Documents/fluff/quizflow/lib/widgets/display_screen_widgets/row_of_buttons.dart", "Dart", 63, 7, 3, 73
"/home/aouser/Documents/fluff/quizflow/lib/widgets/list_screen_widgets/carddeck_tile.dart", "Dart", 43, 5, 3, 51
"/home/aouser/Documents/fluff/quizflow/lib/widgets/list_screen_widgets/folder_tile.dart", "Dart", 116, 13, 8, 137
"/home/aouser/Documents/fluff/quizflow/lib/widgets/list_screen_widgets/list_screen_appbar.dart", "Dart", 54, 14, 5, 73
"Total", "-", 3125, 444, 413, 3982